tile_id,row,column,palette_index,palette_id,palette_name,sku,piece_type,piece_fraction,bounding_width_in,bounding_height_in,clipped_edges,vertices_in
placement-000039,1,40,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,41.828125000 0.000000000;41.828125000 0.093244711;41.328125000 0.381919846;40.828125000 0.093244711;40.828125000 0.000000000
placement-000040,1,41,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,42.890625000 0.000000000;42.890625000 0.093244711;42.390625000 0.381919846;41.890625000 0.093244711;41.890625000 0.000000000
placement-000041,1,42,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,43.953125000 0.000000000;43.953125000 0.093244711;43.453125000 0.381919846;42.953125000 0.093244711;42.953125000 0.000000000
placement-000042,1,43,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,45.015625000 0.000000000;45.015625000 0.093244711;44.515625000 0.381919846;44.015625000 0.093244711;44.015625000 0.000000000
placement-000043,1,44,1,P02,White,,edge_cut,0.263890183,0.921875000,0.381919846,right;top,46.000000000 0.000000000;46.000000000 0.138350201;45.578125000 0.381919846;45.078125000 0.093244711;45.078125000 0.000000000
placement-000044,2,1,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,left,0.921875000 1.013396702;0.421875000 1.302071837;0.000000000 1.058502192;0.000000000 0.390940943;0.421875000 0.147371299;0.921875000 0.436046433
placement-000087,2,44,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,right,46.000000000 1.238924151;45.609375000 1.013396702;45.609375000 0.436046433;46.000000000 0.210518984
placement-000088,3,1,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,left,0.390625000 1.933548694;0.000000000 2.159076143;0.000000000 1.130670976;0.390625000 1.356198425
placement-000131,3,44,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,right,46.000000000 1.978654184;45.578125000 2.222223829;45.078125000 1.933548694;45.078125000 1.356198425;45.578125000 1.067523290;46.000000000 1.311092935
placement-000132,4,1,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,left,0.921875000 2.853700685;0.421875000 3.142375820;0.000000000 2.898806175;0.000000000 2.231244926;0.421875000 1.987675282;0.921875000 2.276350416
placement-000175,4,44,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,right,46.000000000 3.079228134;45.609375000 2.853700685;45.609375000 2.276350416;46.000000000 2.050822967
placement-000176,5,1,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,left,0.390625000 3.773852677;0.000000000 3.999380126;0.000000000 2.970974959;0.390625000 3.196502408
placement-000219,5,44,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,right,46.000000000 3.818958167;45.578125000 4.062527812;45.078125000 3.773852677;45.078125000 3.196502408;45.578125000 2.907827273;46.000000000 3.151396918
